Study Order,Difficulty,Title,Frequency,Link,Topics,Study Topic,,Progress
1,EASY,Two Sum,100,https://leetcode.com/problems/two-sum,"Array, Hash Table",01 Arrays & Hashing,,
2,EASY,Best Time to Buy and Sell Stock,82,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",01 Arrays & Hashing,,
3,EASY,Majority Element,67.6,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm",01 Arrays & Hashing,,
4,EASY,Remove Duplicates from Sorted Array,60.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",01 Arrays & Hashing,,
5,EASY,Longest Common Prefix,58.7,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie",01 Arrays & Hashing,,
6,EASY,Contains Duplicate,55.3,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting",01 Arrays & Hashing,,
7,EASY,Merge Sorted Array,55.3,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",01 Arrays & Hashing,,
8,EASY,Concatenation of Array,48.7,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation",01 Arrays & Hashing,,
9,EASY,Maximum Average Subarray I,48.7,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window",01 Arrays & Hashing,,
10,EASY,Maximum Product of Three Numbers,48.7,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting",01 Arrays & Hashing,,
11,EASY,Remove Element,48.7,https://leetcode.com/problems/remove-element,"Array, Two Pointers",01 Arrays & Hashing,,
12,EASY,Search Insert Position,48.7,https://leetcode.com/problems/search-insert-position,"Array, Binary Search",01 Arrays & Hashing,,
13,EASY,Valid Anagram,48.7,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",01 Arrays & Hashing,,
